이름,나이,점수,등급,도시
김철수_1,30,61.0,D,인천
이영희_2,55,98.3,C,대구
박민수_3,38,65.7,D,인천
최지영_4,50,80.6,A,인천
정태호_5,49,71.2,C,서울
한소영_6,57,63.6,A,광주
임동현_7,42,67.4,B,부산
윤미래_8,37,74.7,B,부산
김철수_9,39,81.4,C,광주
이영희_10,37,69.5,C,인천
박민수_11,22,78.0,D,부산
최지영_12,52,72.1,C,인천
정태호_13,49,78.9,D,광주
한소영_14,43,91.7,C,대구
임동현_15,40,81.7,A,부산
윤미래_16,46,93.2,A,대구
김철수_17,47,99.1,C,대구
이영희_18,62,68.6,D,서울
박민수_19,23,65.1,D,서울
최지영_20,29,89.1,D,부산
정태호_21,31,84.6,C,대구
한소영_22,25,76.5,B,광주
임동현_23,50,80.5,B,부산
윤미래_24,58,72.0,A,서울
김철수_25,35,67.5,C,대구
이영희_26,33,99.0,C,부산
박민수_27,40,97.3,B,인천
최지영_28,55,71.1,D,인천
정태호_29,52,98.1,B,부산
한소영_30,51,93.7,A,인천
임동현_31,54,63.3,C,서울
윤미래_32,50,92.8,D,광주
김철수_33,42,99.9,D,부산
이영희_34,64,62.4,B,부산
박민수_35,51,85.7,A,부산
최지영_36,63,91.1,D,부산
정태호_37,63,94.9,A,대구
한소영_38,52,85.1,A,대구
임동현_39,50,63.5,C,대구
윤미래_40,32,95.9,B,부산
김철수_41,63,72.4,D,서울
이영희_42,51,63.9,D,대구
박민수_43,25,71.9,B,서울
최지영_44,47,77.4,A,대구
정태호_45,22,98.1,B,서울
한소영_46,21,87.3,A,대구
임동현_47,64,98.2,C,광주
윤미래_48,56,62.7,A,부산
김철수_49,33,74.1,D,인천
이영희_50,42,61.3,D,광주
박민수_51,59,94.2,B,서울
최지영_52,44,94.0,A,인천
정태호_53,44,89.1,A,서울
한소영_54,64,70.3,D,부산
임동현_55,36,91.4,C,인천
윤미래_56,40,68.8,D,인천
김철수_57,63,85.5,B,인천
이영희_58,49,61.9,D,대구
박민수_59,29,84.4,B,부산
최지영_60,58,79.3,D,광주
정태호_61,23,97.2,D,인천
한소영_62,48,89.9,D,인천
임동현_63,49,74.0,A,서울
윤미래_64,64,62.9,A,서울
김철수_65,25,84.2,D,서울
이영희_66,54,92.8,A,대구
박민수_67,59,71.1,C,부산
최지영_68,60,73.2,B,인천
정태호_69,24,60.3,D,대구
한소영_70,22,80.1,D,서울
임동현_71,27,94.2,B,서울
윤미래_72,31,79.7,D,인천
김철수_73,23,77.1,C,서울
이영희_74,23,93.3,B,인천
박민수_75,39,60.3,B,광주
최지영_76,31,83.3,D,부산
정태호_77,36,70.3,C,부산
한소영_78,51,68.8,C,부산
임동현_79,22,70.6,A,대구
윤미래_80,35,99.6,D,대구
김철수_81,22,64.4,A,서울
이영희_82,44,98.7,A,대구
박민수_83,62,96.2,B,대구
최지영_84,59,88.2,B,광주
정태호_85,25,68.0,C,서울
한소영_86,51,63.9,B,광주
임동현_87,45,88.9,D,대구
윤미래_88,30,93.7,C,서울
김철수_89,43,67.3,A,대구
이영희_90,55,67.8,D,서울
박민수_91,38,74.1,D,광주
최지영_92,44,84.6,A,서울
정태호_93,59,87.9,D,대구
한소영_94,52,89.2,B,서울
임동현_95,45,71.5,B,인천
윤미래_96,51,87.7,D,인천
김철수_97,23,99.2,D,인천
이영희_98,39,77.6,D,부산
박민수_99,48,78.8,A,대구
최지영_100,56,79.8,A,광주
